City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,souillac,-20.5167,57.5167,26.21,83,40,3.09,MU,1714148670
84,antofagasta,-23.65,-70.4,19.71,75,77,3.64,CL,1714148118
85,stanley,54.868,-1.6985,9.29,64,20,3.6,GB,1714148015
86,mitu,1.1983,-70.1733,28.15,81,100,0.62,CO,1714148161
87,san antonio de pale,-1.4014,5.6325,28.01,80,100,2.16,GQ,1714148204
88,okhotsk,59.3833,143.3,-0.04,99,100,5.72,RU,1714148670
89,east london,-33.0153,27.9116,20.52,77,75,4.12,ZA,1714148107
90,avarua,-21.2078,-159.775,25.03,88,40,4.63,CK,1714148163
91,stephenville,32.2207,-98.2023,25.48,83,100,4.63,US,1714148670
92,bredasdorp,-34.5322,20.0403,16.64,75,28,8.78,ZA,1714148172
93,kurmuk,10.55,34.2833,32.87,23,100,1.57,SD,1714148670
94,nichinan,31.6,131.3667,17.82,93,100,3.15,JP,1714148671
95,afaahiti,-17.75,-149.2833,24.93,84,85,6.01,PF,1714148168
96,ribeira grande,38.5167,-28.7,17.22,63,75,4.92,PT,1714148171
97,kupang,-10.1667,123.5833,26.66,86,8,4.77,ID,1714148191
98,bathsheba,13.2167,-59.5167,30.34,66,75,6.17,BB,1714148606
99,jamestown,42.097,-79.2353,15.85,33,0,5.66,US,1714147925
100,nguigmi,14.2495,13.1092,38.57,11,13,3.92,NE,1714148193
101,puerto deseado,-47.7503,-65.8938,9.82,28,26,13.51,AR,1714148671
102,domat,46.8348,9.4508,15.06,61,85,3.77,CH,1714148671
103,palapye,-22.546,27.1251,26.8,37,19,6.22,BW,1714148671
104,brisas de zicatela,15.8369,-97.0419,30.29,62,0,4.63,MX,1714148671
105,olonkinbyen,70.9221,-8.7187,-1.61,98,100,6.08,SJ,1714148161
106,huarmey,-10.0681,-78.1522,22.85,77,13,3.28,PE,1714148672
107,port mathurin,-19.6833,63.4167,26.81,77,85,8.27,MU,1714148172
108,praia,14.9215,-23.5087,29.3,51,0,8.75,CV,1714148561
109,tionk essil,12.7856,-16.5217,27.98,35,8,7.83,SN,1714148672
110,ulsteinvik,62.3432,5.8487,9.5,69,94,1.48,NO,1714148361
111,mount gambier,-37.8333,140.7667,8.51,74,82,0.84,AU,1714148179
112,utrik,11.2278,169.8474,26.79,77,19,8.4,MH,1714148173
113,tuapse,44.1125,39.0742,22.86,62,94,2.8,RU,1714148436
114,tralee,52.2704,-9.7026,11.14,58,0,4.12,IE,1714148201
115,jerez de garcia salinas,22.65,-103.0,21.64,19,100,2.21,MX,1714148672
116,aykhal,66.0,111.5,-8.85,96,100,3.39,RU,1714148196
117,jianguang,28.1938,115.7836,22.37,90,16,1.28,CN,1714148673
118,jayapura,-2.5333,140.7,24.66,91,96,1.64,ID,1714148177
119,villa gesell,-37.2639,-56.973,17.81,94,100,3.09,AR,1714148620
120,floro,61.5996,5.0328,10.04,49,20,3.09,NO,1714148648
121,rajanpur,29.1035,70.325,26.52,42,0,12.05,PK,1714148673
122,ust-nera,64.5667,143.2,-5.16,96,100,2.64,RU,1714148167
